Pos	PosRank	Player	Team	AB	R	HR	RBI	SB	AVG	OBP	SLG	Value	SBAB
OF	155	Darin Mastroianni	MIN	195	23	2	16	11	0.246	0.307	0.333	-$31.00	0.0564102564
OF	97	David DeJesus	TB	416	56	8	41	5	0.25	0.325	0.38	-$12.00	0.0120192308
OF	118	David Lough	BAL	301	36	5	33	7	0.266	0.301	0.389	-$20.00	0.023255814
OF	88	David Murphy	CLE	391	47	11	47	5	0.263	0.329	0.409	-$10.00	0.0127877238
OF	103	Dayan Viciedo	CWS	335	39	13	45	1	0.257	0.306	0.424	-$15.00	0.0029850746
OF	150	Delmon Young	BAL	190	20	6	25	0	0.258	0.295	0.4	-$31.00	0
OF	66	Denard Span	WAS	537	70	4	45	16	0.277	0.331	0.376	$0.00	0.0297951583
OF	39	Desmond Jennings	TB	534	85	14	59	24	0.245	0.324	0.395	$11.00	0.0449438202
OF	60	Dexter Fowler	HOU	484	70	12	44	16	0.264	0.364	0.415	$1.00	0.0330578512
OF	29	Domonic Brown	PHI	514	67	24	78	8	0.265	0.327	0.469	$14.00	0.0155642023
OF	142	Don Kelly	DET	216	28	6	24	2	0.241	0.311	0.361	-$30.00	0.0092592593
OF	107	Drew Stubbs	COL	294	44	8	33	14	0.245	0.315	0.378	-$15.00	0.0476190476
OF	90	Dustin Ackley	SEA	439	59	7	41	6	0.253	0.326	0.358	-$9.00	0.013667426
OF	119	Emilio Bonifacio	CHC	275	36	2	22	20	0.265	0.324	0.353	-$19.00	0.0727272727
OF	185	Endy Chavez	SEA	90	9	1	7	1	0.256	0.287	0.322	-$42.00	0.0111111111
OF	116	Eric Young	NYM	300	41	2	22	23	0.247	0.313	0.33	-$19.00	0.0766666667
OF	57	Evan Gattis	ATL	462	55	23	75	2	0.247	0.296	0.459	$9.00	0.0043290043
OF	108	George Springer	HOU	262	38	12	36	12	0.24	0.318	0.439	-$15.00	0.0458015267
OF	67	Gerardo Parra	ARI	514	65	10	50	11	0.272	0.331	0.409	$0.00	0.0214007782
OF	13	Giancarlo Stanton	MIA	491	76	32	83	4	0.261	0.361	0.525	$20.00	0.0081466395
OF	171	Grady Sizemore	BOS	122	15	3	16	1	0.238	0.295	0.393	-$37.00	0.0081967213
OF	123	Gregor Blanco	SF	296	38	3	27	12	0.243	0.325	0.338	-$23.00	0.0405405405
OF	136	Gregory Polanco	PIT	223	26	4	23	11	0.247	0.297	0.359	-$27.00	0.0493273543
OF	191	Henry Urrutia	BAL	72	6	1	6	0	0.208	0.24	0.292	-$47.00	0
OF	14	Hunter Pence	SF	569	80	20	87	12	0.267	0.326	0.438	$20.00	0.0210896309
OF	112	Ichiro Suzuki	NYY	312	37	4	29	12	0.276	0.311	0.362	-$18.00	0.0384615385
OF	154	J.B. Shuck	LAA	196	25	1	18	5	0.265	0.318	0.332	-$31.00	0.0255102041
OF	156	J.D. Martinez	HOU	191	20	5	24	1	0.251	0.296	0.382	-$32.00	0.0052356021
OF	105	Jackie Bradley	BOS	360	47	8	37	9	0.25	0.328	0.389	-$15.00	0.025
OF	10	Jacoby Ellsbury	NYY	571	87	14	59	38	0.284	0.339	0.431	$25.00	0.0665499124
OF	170	Jake Marisnick	MIA	161	14	3	15	5	0.242	0.291	0.36	-$37.00	0.0310559006
OF	153	Jarrod Dyson	KAN	154	22	1	13	16	0.247	0.314	0.331	-$31.00	0.1038961039
OF	161	Jason Bay	FA	150	20	6	17	3	0.227	0.314	0.38	-$34.00	0.02
OF	27	Jason Heyward	ATL	522	81	22	64	10	0.264	0.351	0.456	$14.00	0.0191570881
OF	111	Jason Kubel	MIN	335	39	11	46	1	0.236	0.312	0.388	-$18.00	0.0029850746
OF	11	Jay Bruce	CIN	533	78	30	92	7	0.257	0.333	0.492	$23.00	0.0131332083
OF	42	Jayson Werth	WAS	441	68	18	65	9	0.277	0.361	0.458	$9.00	0.0204081633
OF	165	Jeff Baker	MIA	146	16	5	17	1	0.253	0.314	0.425	-$36.00	0.0068493151
OF	166	Jeff Francoeur	CLE	160	17	4	18	2	0.238	0.282	0.375	-$35.00	0.0125
OF	89	Jesus Guzman	HOU	380	47	11	53	5	0.247	0.316	0.4	-$11.00	0.0131578947
OF	196	Joc Pederson	LAD	7	1	0	1	0	0.143	0.25	0.143	-$47.00	0
OF	187	Joey Terdoslavich	ATL	48	6	1	5	0	0.25	0.308	0.375	-$44.00	0
OF	144	John Mayberry	PHI	197	25	7	24	3	0.239	0.299	0.401	-$29.00	0.0152284264
OF	128	Jon Jay	STL	235	32	3	26	5	0.277	0.341	0.374	-$24.00	0.0212765957
OF	192	Jonathan Singleton	HOU	66	6	2	6	0	0.167	0.236	0.288	-$45.00	0
OF	96	Jonny Gomes	BOS	320	46	14	48	2	0.244	0.335	0.425	-$12.00	0.00625
OF	180	Jordan Danks	CWS	93	11	3	10	3	0.237	0.317	0.376	-$39.00	0.0322580645
OF	149	Jordan Schafer	ATL	197	25	3	16	14	0.223	0.298	0.315	-$31.00	0.0710659898
OF	8	Jose Bautista	TOR	464	85	32	84	7	0.265	0.377	0.53	$26.00	0.0150862069
OF	190	Jose Constanza	ATL	40	5	0	2	2	0.25	0.286	0.275	-$45.00	0.05
OF	91	Jose Tabata	PIT	389	52	6	38	9	0.27	0.332	0.393	-$11.00	0.0231362468
